00:1a:1e:6d:bb:a2,3
00:24:6c:86:c1:52,11
00:1a:1e:6d:bb:a1,2
00:24:6c:86:c1:51,10
00:1a:1e:6d:bb:a0,1
00:24:6c:86:c1:50,9
00:24:6c:87:d1:82,65
00:24:6c:87:d1:81,64
00:24:6c:87:d1:80,63
00:24:6c:86:a9:82,8
00:24:6c:86:a9:81,7
00:24:6c:86:a9:80,6
00:24:6c:86:d2:32,47
00:24:6c:86:d2:31,46
00:24:6c:86:d2:30,45
00:24:6c:86:c8:52,29
00:24:6c:86:c8:51,28
00:24:6c:86:c8:50,27
00:24:6c:86:c1:e2,14
00:24:6c:86:c1:e1,13
00:24:6c:86:c1:e0,12
00:24:6c:87:fe:72,71
00:24:6c:87:fe:71,70
00:24:6c:87:fe:70,69
00:24:6c:86:d4:92,53
00:24:6c:86:d4:91,52
00:24:6c:86:d4:90,51
00:24:6c:a8:1e:b2,74
00:24:6c:a8:1e:b1,73
00:24:6c:a8:1e:b0,72
00:24:6c:86:d3:22,50
00:24:6c:86:d3:21,49
00:24:6c:86:d3:20,48
00:24:6c:86:ca:42,32
00:24:6c:86:ca:41,31
00:24:6c:ff:41:12,77
00:24:6c:86:ca:40,30
00:24:6c:ff:41:11,76
00:24:6c:ff:41:10,75
00:24:6c:86:cc:42,35
00:24:6c:86:cc:41,34
00:24:6c:86:cc:40,33
00:24:6c:86:d2:12,44
00:24:6c:86:d2:11,43
00:24:6c:86:d2:10,42
00:24:6c:87:ba:92,62
00:24:6c:87:ba:91,61
00:24:6c:87:ba:90,60
00:24:6c:86:c3:c2,20
00:24:6c:86:c3:c1,19
00:24:6c:86:c3:c0,18
00:24:6c:86:d0:62,41
00:24:6c:86:d0:61,40
00:24:6c:86:d0:60,39
00:24:6c:86:c6:82,26
00:24:6c:86:c6:81,25
00:24:6c:86:c6:80,24
00:24:6c:87:97:a2,56
00:24:6c:87:97:a1,55
00:24:6c:87:97:a0,54
00:24:6c:86:c2:72,17
00:24:6c:86:c2:71,16
00:24:6c:86:c2:70,15
00:24:6c:87:e1:d2,68
00:24:6c:87:e1:d1,67
00:24:6c:87:e1:d0,66
00:24:6c:87:9a:62,59
00:24:6c:87:9a:61,58
00:24:6c:87:9a:60,57
00:24:6c:86:c5:72,23
00:24:6c:86:c5:71,22
00:24:6c:86:c5:70,21
00:24:6c:86:71:82,5
00:24:6c:86:71:81,4
00:24:6c:86:cd:22,38
00:24:6c:86:cd:21,37
00:24:6c:86:cd:20,36
